Number;Coleccion;Pais;Provincia;Localidad;FechaColecta;Ano_colecta;Latitud;Longitud;Temporalidad;Origen;BIBLIOGRAFIA
140;NIAT_00001;BR;Mato Grosso do Sul;Fazenda Santa Teresa;2015;2015;-18.301047;-57.509949;Actual;Attias et al, 2017;Attias, N. 2017. Spatial and Temporal Ecology of two armadillo species in Midwestern Brazil. PhD dissertation
141;164098;PY;Boqueron;Filadelfia- 37 km W- Estancia Toledo--Molineros;24/10/1996;1996;-22.3697;-60.3392;Actual;GBIF;
142;GIOCI_00059;PY;PRESIDENTE HAYES;Fortin Rojas Silva RAMSAR;2002;2002;-22.62694444;-59.045;Actual;Santos 2017;Unpublisehd data
143;17520;PY;Boqueron;Fortin Teniente Agripino Enciso;25/7/1975;1975;-21.217939;-61.644001;Actual;VertNet;
144;384734318;PY;Boqueron;Fortin Toledo - Ruta Transchaco Road;18/8/2014;2014;-22.344551;-60.298996;Actual;GBIF;
145;10257;AR;Santiago del Estero;Guampacha;1986-1987;1987;-28.03273;-64.783306;Actual;Massoia, 1987;
146;WALLA_02315;BO;Santa Cruz;Guanaco;;;-20.05083333;-62.43444444;Actual;Santos 2017;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
147;ABBA_01879;AR;Cordoba;Guanaco Muerto;NA;;-30.4833333;-65.05;Actual;Santos 2017;Abba obs. pers.
148;WALLA_02280;BO;Santa Cruz;Guirapembi;;;-19.344363;-62.654818;Actual;Santos 2017;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
149;AMF093;AR;Cordoba;Gutenberg;19/4/2017;2017;-29.738658;-63.573675;Actual;This work;
150;33;AR;Salta;Hickmann;1972-1984;1980;-22.2;-63.566;Actual;Ojeda y Mares, 1989;
